,music,hastag_data,author_follower,author_heart,play
196,Say So (Instrumental Version) [Originally Performed by Doja Cat],yukcaritau,760900,17700000,297000
197,Bukan Pho,yukcaritau,259300,8500000,187300
198,Gravity Falls Intro (Electro),yukcaritau,327400,7500000,923300
199,CM style of furniture and clothes Refreshing tunes with good tempo(166185),yukcaritau,523000,12800000,479400
200,Permisi Ganteng,yukcaritau,870000,20700000,1600000
201,Manis Tapi Bukan Gula (Short version),yukcaritau,514000,6100000,225700
202,Monkeys Spinning Monkeys,yukcaritau,680800,33300000,130300
203,Monkeys Spinning Monkeys,yukcaritau,243900,5200000,39200
204,Summer day,yukcaritau,23500,357900,22100
205,original sound - Chilla Kiana,yukcaritau,828600,10600000,1300000
206,Squid Game - Green Light Red Light,yukcaritau,1100000,31800000,679700
207,original sound - Valent Ko,yukcaritau,166500,3900000,543500
208,edamame,yukcaritau,335100,6500000,369400
209,Sneaky Snitch,yukcaritau,972600,22200000,7100000
210,double take,yukcaritau,7103,131900,66900
211,DINDA,yukcaritau,3500000,40100000,1200000
212,Chopin Nocturne No. 2 Piano Mono,yukcaritau,766700,18400000,1700000
213,Monkeys Spinning Monkeys,yukcaritau,851400,18500000,364700
214,Say So (Instrumental Version) [Originally Performed by Doja Cat],yukcaritau,7103,131900,58800
215,original sound - Coach RH | Prima Academy,yukcaritau,114100,2200000,80800
216,Lazy Sunday,yukcaritau,421900,12600000,111900
217,original sound - Rudensofian,yukcaritau,311300,3200000,111900
218,"Married Life (From ""Up"")",yukcaritau,139700,2500000,671200
219,suara asli - Crazyboys,yukcaritau,156400,5200000,195900
220,Blue Blood,yukcaritau,237800,3300000,611800
221,edamame,yukcaritau,2700000,98100000,4500000
222,GUY.exe,yukcaritau,94600,3400000,277700
223,Let's cooking,yukcaritau,159000,1300000,307000
224,So Nice,yukcaritau,67400,704000,294200
225,MONEY,yukcaritau,141200,3100000,81000
226,U MAKE ME GO,yukcaritau,839600,24900000,309300
227,Trance Music for Racing Game,yukcaritau,152400,1600000,714300
228,original sound - zakimages,yukcaritau,228000,3200000,316300
229,Waterdrop,yukcaritau,980000,18400000,324700
230,original sound - mia oktavia,yukcaritau,383100,10200000,357900
231,suara asli - Rizkyy Fazz,yukcaritau,118500,5900000,80200
232,Squid Game - Green Light Red Light,yukcaritau,289200,7300000,304100
233,Bolehhh,yukcaritau,677400,12100000,802300
234,Squidville,yukcaritau,356000,4600000,104400
235,Dancing In The Moonlight x Pumped Up Kicks,yukcaritau,353600,9400000,331900
236,MONEY,yukcaritau,523000,12800000,334900
237,My Universe,yukcaritau,175400,2300000,298600
238,Spanish Rose,yukcaritau,97800,1300000,88300
239,Clouds,yukcaritau,264900,9700000,315500
240,suara asli - Mario g klau,yukcaritau,862500,33800000,2500000
241,suara asli - Rangga Juans,yukcaritau,791700,9500000,287700
242,Bae (Remix),yukcaritau,23500,357900,92400
243,suara asli - Akpoy 瀘🍀,yukcaritau,421900,12600000,273900
244,Love Nwantiti(Remix),yukcaritau,198200,3400000,1100000
245,Romantic Sunday,yukcaritau,166500,3900000,676500
246,edamame,yukcaritau,6300000,275600000,2800000
247,Monkeys Spinning Monkeys,yukcaritau,454800,7000000,341000
248,Say So (Instrumental Version) [Originally Performed by Doja Cat],yukcaritau,3900000,54200000,294700
249,Bella ciao - HUGEL Remix Extended,yukcaritau,243900,5200000,84700
250,Mission Impossible (Main Theme),yukcaritau,1200000,21100000,353100
251,Squid Game - Green Light Red Light,yukcaritau,509800,9500000,694300
252,"Serenade No.13 in G Major, K. 525 ""Eine Kleine Nachtmusik"" I. Allegro",yukcaritau,525700,15200000,772100
253,suara asli - Sri Karyati | Art & Draw,yukcaritau,862500,12600000,4900000
